id_veiculo_modelo,name,status,fk_veiculo_marca
1,Integra GS 1.8,1,1
2,Legend 3.2/3.5,1,1
3,NSX 3.0,1,1
4,MARRUÁ 2.8 12V 132cv TDI Diesel,1,2
5,145 Elegant 1.7/1.8 16V,1,3
6,145 Elegant 2.0 16V,1,3
7,145 Quadrifoglio 2.0,1,3
8,145 QV,1,3
9,147 2.0 16V 148cv 4p Semi-Aut.,1,3
10,155,1,3
11,155 Super,1,3
12,156 2.5 V6 24V 190cv 4p Aut.,1,3
13,156 Sport Wagon 2.0 16V,1,3
14,156 SportWagon 2.5 V6 24V 190cv 4p Aut.,1,3
15,156 TS/Sport/Elegant 2.0 16V,1,3
16,164 3.0 V6,1,3
17,164 Super V6 24V,1,3
18,166 3.0 V6 24V,1,3
19,2300 TI/TI-4,1,3
20,Spider 2.0/3.0,1,3
21,Hummer Hard-Top 6.5 4x4 Diesel TB,1,4
22,Hummer Open-Top 6.5 4x4 Diesel TB,1,4
23,Hummer Wagon 6.5 4x4 Diesel TB,1,4
24,AM-825 Luxo 4.0 Diesel,1,5
25,AM-825 Super Luxo 4.0 Diesel,1,5
26,Hi-Topic SLX/SDX/DLX Full Diesel,1,5
27,Hi-Topic STD Diesel,1,5
28,Hi-Topic Van 2.7 Diesel (furgão),1,5
29,Jipe Rocsta GT 4x4 2.2 Diesel,1,5
30,Topic Carga 2.7 Diesel (furgão),1,5
31,Topic Luxo Diesel,1,5
32,Topic Super Luxo Diesel,1,5
33,Towner Coach Full,1,5
34,Towner Furgão,1,5
35,Towner Glass Van,1,5
36,Towner Luxo,1,5
37,Towner Multiuso 5p,1,5
38,Towner Panel Van,1,5
39,Towner Pick-Up,1,5
40,Towner SDX / DLX/ STD,1,5
41,Towner Super Luxo,1,5
42,Towner Truck,1,5
43,100 2.8 V6,1,6
44,100 2.8 V6 Avant,1,6
45,100 S-4 2.2 Avant Turbo,1,6
46,80 2.0,1,6
47,80 2.0 Avant,1,6
48,80 2.6/ 2.8,1,6
49,80 2.6/2.8 Avant,1,6
50,80 2.8 Cabriolet,1,6
51,80 S2 Avant,1,6
52,A3 1.6 3p,1,6
53,A3 1.6 3p Aut,1,6
54,A3 1.6 5p,1,6
55,A3 1.6 5p Aut,1,6
56,A3 1.8 3p,1,6
57,A3 1.8 3p Aut.,1,6
58,A3 1.8 5p Aut.,1,6
59,A3 1.8 5p Mec.,1,6
60,A3 1.8 Turbo 180cv 3p Aut./ Tip.,1,6
61,A3 1.8 Turbo 180cv 3p Mec.,1,6
62,A3 1.8 Turbo 180cv 5p Aut./ Tip.,1,6
63,A3 1.8 Turbo 180cv 5p Mec.,1,6
64,A3 1.8 Turbo 3p Aut.,1,6
65,A3 1.8 Turbo 3p Mec.,1,6
66,A3 1.8 Turbo 5p Aut.,1,6
67,A3 1.8 Turbo 5p Mec.,1,6
68,A4 1.8  Aut.,1,6
69,A4 1.8  Mec.,1,6
70,A4 1.8 Avant Aut.,1,6
71,A4 1.8 Avant Mec.,1,6
72,A4 1.8 Avant Turbo Mec.,1,6
73,A4 1.8 Avant Turbo Tip./ Multitronic,1,6
74,A4 1.8 Tip./ Multitronic Turbo,1,6
75,A4 1.8 Turbo,1,6
76,A4 2.0 20V 130cv Multitronic 4p,1,6
77,A4 2.4 30V Avant Mec,1,6
78,A4 2.4 30V Avant Tip./Multitronic,1,6
79,A4 2.4 30V Mec,1,6
80,A4 2.4 30V Tip./Multitronic,1,6
81,A4 2.4 Avant V6 30V Quattro Mec,1,6
82,A4 2.4 Avant V6 30V Quattro Tiptronic,1,6
83,A4 2.4 V6 30V Quattro Mec,1,6
84,A4 2.4 V6 30V Quattro Tiptronic,1,6
85,A4 2.8,1,6
86,A4 2.8 30V  Tiptronic/ Aut.,1,6
87,A4 2.8 30V Mec,1,6
88,A4 2.8 Avant V6 12V,1,6
89,A4 2.8 Avant V6 30V Mec.,1,6
90,A4 2.8 Avant V6 30V Quattro Mec.,1,6
91,A4 2.8 Avant V6 30V Quattro Tiptronic,1,6
92,A4 2.8 Avant V6 30V Tiptronic,1,6
93,A4 2.8 V6 30V  Quattro Tiptronic,1,6
94,A4 2.8 V6 30V Quattro Mec,1,6
95,A4 3.0 30V 218cv Multitronic 4p,1,6
96,A4 3.0 30V 218cv Quattro Tiptron./Aut 4p,1,6
97,A4 3.0 Avant 30V 218cv Multitronic 5p,1,6
98,A4 3.0 Avant 30V 218cv Quattro Tiptronic,1,6
99,A4 3.0 Cabriolet 30V 218cv Multitronic,1,6
100,A6 2.4 30V Mec,1,6
101,A6 2.4 30V Tip./Multitronic,1,6
102,A6 2.4 Avant 30V Mec.,1,6
103,A6 2.4 Avant 30V Tip./ Multitronic,1,6
104,A6 2.4 Avant V6 30V Quattro Mec.,1,6
105,A6 2.4 Avant V6 30V Quattro Tiptronic,1,6
106,A6 2.4 V6 30V Quattro Mec,1,6
107,A6 2.4 V6 30V Quattro Tiptronic,1,6
108,A6 2.7 30V Avant Tiptronic,1,6
109,A6 2.7 30V Mec.,1,6
110,A6 2.7 Avant Quattro Tiptronic,1,6
111,A6 2.7 Quattro Tiptronic,1,6
112,A6 2.8,1,6
113,A6 2.8 30V Mec,1,6
114,A6 2.8 30V Tiptronic,1,6
115,A6 2.8 Avant,1,6
116,A6 2.8 Avant 30V Mec,1,6
117,A6 2.8 Avant 30V Tiptronic,1,6
118,A6 2.8 Avant V6 30V Quattro Mec,1,6
119,A6 2.8 Avant V6 30V Quattro Tiptronic,1,6
120,A6 2.8 V6 30V Quattro Mec,1,6
121,A6 2.8 V6 30V Quattro Tiptronic,1,6
122,A6 3.0 Avant V6 30V 218cv Multitronic 5p,1,6
123,A6 3.0 V6 30V 218cv Multitronic 4p,1,6
124,A6 4.2 Avant Quattro Tiptronic,1,6
125,A6 4.2 Quattro Tiptronic,1,6
